Title,Artist,Year,ImageURL,Styles,Genres,Media,Dimensions,Description,PaintingURL,image_urls,images
The Pont Henri IV Notre Dame de Paris in the Snow,Gustave Loiseau,1920,https://uploads5.wikiart.org/images/gustave-loiseau/the-pont-henri-iv-notre-dame-de-paris-in-the-snow-1920.jpg!Large.jpg,Post-Impressionism,landscape,oil; canvas,,,https://www.wikiart.org/en/gustave-loiseau/the-pont-henri-iv-notre-dame-de-paris-in-the-snow-1920,https://uploads5.wikiart.org/images/gustave-loiseau/the-pont-henri-iv-notre-dame-de-paris-in-the-snow-1920.jpg!Large.jpg,"[{'url': 'https://uploads5.wikiart.org/images/gustave-loiseau/the-pont-henri-iv-notre-dame-de-paris-in-the-snow-1920.jpg!Large.jpg', 'path': 'full/f7a6b5943138fca1d6f55c79e0ea87763b956c8f.jpg', 'checksum': '77bae8d640c1002adf047519dbff6d54', 'status': 'downloaded'}]"
The Port at Collioure,Gustave Loiseau,1921,https://uploads4.wikiart.org/images/gustave-loiseau/the-port-at-collioure-1921.jpg!Large.jpg,Post-Impressionism,landscape,oil; canvas,,,https://www.wikiart.org/en/gustave-loiseau/the-port-at-collioure-1921,https://uploads4.wikiart.org/images/gustave-loiseau/the-port-at-collioure-1921.jpg!Large.jpg,"[{'url': 'https://uploads4.wikiart.org/images/gustave-loiseau/the-port-at-collioure-1921.jpg!Large.jpg', 'path': 'full/86b349ab5ec324df070ac0a8efa534322ccbed23.jpg', 'checksum': '24bd506d48d5ecca96181fef80c4fe6a', 'status': 'downloaded'}]"
Small Arm of the Seine Near Connelle,Gustave Loiseau,1921,https://uploads1.wikiart.org/images/gustave-loiseau/small-arm-of-the-seine-near-connelle-1921.jpg!Large.jpg,Post-Impressionism,landscape,oil; canvas,,,https://www.wikiart.org/en/gustave-loiseau/small-arm-of-the-seine-near-connelle-1921,https://uploads1.wikiart.org/images/gustave-loiseau/small-arm-of-the-seine-near-connelle-1921.jpg!Large.jpg,"[{'url': 'https://uploads1.wikiart.org/images/gustave-loiseau/small-arm-of-the-seine-near-connelle-1921.jpg!Large.jpg', 'path': 'full/773a6199bc34a3e077d1ab575378525d3a7508e5.jpg', 'checksum': '9c41923ec611345be32ffcc39f15e61b', 'status': 'downloaded'}]"
The Garden,Gustave Loiseau,1920,https://uploads6.wikiart.org/images/gustave-loiseau/the-garden.jpg!Large.jpg,Post-Impressionism,landscape,oil; canvas,,,https://www.wikiart.org/en/gustave-loiseau/the-garden,https://uploads6.wikiart.org/images/gustave-loiseau/the-garden.jpg!Large.jpg,"[{'url': 'https://uploads6.wikiart.org/images/gustave-loiseau/the-garden.jpg!Large.jpg', 'path': 'full/9a09edb1d216578335fe5a088e4a0a3de38ce880.jpg', 'checksum': 'a98554c5dd6e831d9088acb8f30ec482', 'status': 'downloaded'}]"
Paper Mill at Port Marly,Gustave Loiseau,1920,https://uploads7.wikiart.org/images/gustave-loiseau/paper-mill-at-port-marly-1920.jpg!Large.jpg,Post-Impressionism,landscape,oil; canvas,,,https://www.wikiart.org/en/gustave-loiseau/paper-mill-at-port-marly-1920,https://uploads7.wikiart.org/images/gustave-loiseau/paper-mill-at-port-marly-1920.jpg!Large.jpg,"[{'url': 'https://uploads7.wikiart.org/images/gustave-loiseau/paper-mill-at-port-marly-1920.jpg!Large.jpg', 'path': 'full/147c0a3973cfe72c34cc965c0e62d78950925d68.jpg', 'checksum': '7482909f338ae312bf2157235d3b5b9c', 'status': 'downloaded'}]"
Woods Near Eure River,Gustave Loiseau,1920,https://uploads4.wikiart.org/images/gustave-loiseau/woods-near-eure-river-1920.jpg!Large.jpg,Post-Impressionism,landscape,oil; canvas,,,https://www.wikiart.org/en/gustave-loiseau/woods-near-eure-river-1920,https://uploads4.wikiart.org/images/gustave-loiseau/woods-near-eure-river-1920.jpg!Large.jpg,"[{'url': 'https://uploads4.wikiart.org/images/gustave-loiseau/woods-near-eure-river-1920.jpg!Large.jpg', 'path': 'full/3826f4d330c8e15fe868681cb989573bd441a72a.jpg', 'checksum': 'c9c46d7ad6ba7736c766f5c5001e5989', 'status': 'downloaded'}]"
By the Lorne River near Caen,Gustave Loiseau,1925,https://uploads2.wikiart.org/images/gustave-loiseau/by-the-lorne-river-near-caen-1925.jpg!Large.jpg,Post-Impressionism,landscape,,,,https://www.wikiart.org/en/gustave-loiseau/by-the-lorne-river-near-caen-1925,https://uploads2.wikiart.org/images/gustave-loiseau/by-the-lorne-river-near-caen-1925.jpg!Large.jpg,"[{'url': 'https://uploads2.wikiart.org/images/gustave-loiseau/by-the-lorne-river-near-caen-1925.jpg!Large.jpg', 'path': 'full/261784bc7e9042b652eabba12698d8cde4eeefe3.jpg', 'checksum': '568055ae65b5082d7395c9dc1d24fb3e', 'status': 'downloaded'}]"
Spring,Gustave Loiseau,1920,https://uploads7.wikiart.org/images/gustave-loiseau/spring-1920.jpg!Large.jpg,Post-Impressionism,landscape,,,,https://www.wikiart.org/en/gustave-loiseau/spring-1920,https://uploads7.wikiart.org/images/gustave-loiseau/spring-1920.jpg!Large.jpg,"[{'url': 'https://uploads7.wikiart.org/images/gustave-loiseau/spring-1920.jpg!Large.jpg', 'path': 'full/f74ff5414b69448c0950fe069c2eda5804b62633.jpg', 'checksum': '2cc67e9e65ecd281c5724bd43fe13c3b', 'status': 'downloaded'}]"
House by the Water,Gustave Loiseau,1920,https://uploads1.wikiart.org/images/gustave-loiseau/house-by-the-water-1920.jpg!Large.jpg,Post-Impressionism,landscape,oil; canvas,,,https://www.wikiart.org/en/gustave-loiseau/house-by-the-water-1920,https://uploads1.wikiart.org/images/gustave-loiseau/house-by-the-water-1920.jpg!Large.jpg,"[{'url': 'https://uploads1.wikiart.org/images/gustave-loiseau/house-by-the-water-1920.jpg!Large.jpg', 'path': 'full/d9f0f5c2198cbdb1e16cd4cefb4c7c231f693eb1.jpg', 'checksum': 'a5d39084cc166e05dc4a791e7bd32213', 'status': 'downloaded'}]"
The Church of St. Gervais,Gustave Loiseau,1920,https://uploads6.wikiart.org/images/gustave-loiseau/the-church-of-st-gervais-1920.jpg,Post-Impressionism,cityscape,oil; canvas,,,https://www.wikiart.org/en/gustave-loiseau/the-church-of-st-gervais-1920,https://uploads6.wikiart.org/images/gustave-loiseau/the-church-of-st-gervais-1920.jpg,"[{'url': 'https://uploads6.wikiart.org/images/gustave-loiseau/the-church-of-st-gervais-1920.jpg', 'path': 'full/0ac2d5c3f1ab96a9357ae6ae137bbd088c6e62e3.jpg', 'checksum': 'beab3099a98274bcb93938eaec00bc1c', 'status': 'downloaded'}]"
